,name,realm,rating,cls,spec,play,win,lose
406,Gareath,ragnaros,672,deathknight,unholy,12,7,5
407,Èvíl,stormscale,672,deathknight,unholy,12,7,5
408,Unholykebab,defias-brotherhood,672,deathknight,unholy,12,7,5
409,Moonpoxdk,nerathor,672,deathknight,unholy,12,7,5
410,Зибак,soulflayer,672,deathknight,unholy,12,7,5
411,Soulchaos,ravencrest,672,deathknight,unholy,18,7,11
412,Geraltbg,twisting-nether,672,deathknight,unholy,18,7,11
413,Fearléss,outland,672,deathknight,unholy,18,7,11
414,Gadres,aegwynn,672,deathknight,unholy,18,7,11
415,Smallbaboon,stormreaver,672,deathknight,unholy,18,7,11
416,Aifam,twisting-nether,672,deathknight,unholy,18,7,11
417,Никнейм,gordunni,672,deathknight,unholy,18,7,11
418,Дэдушка,gordunni,671,deathknight,unholy,12,7,5
419,Mcrune,ravencrest,671,deathknight,unholy,18,7,11
420,Ráisy,outland,671,deathknight,unholy,24,7,17
421,Amencore,kazzak,670,deathknight,unholy,14,7,7
422,Unzul,twisting-nether,660,deathknight,unholy,12,7,5
423,Lastdragon,dun-modr,657,deathknight,unholy,18,7,11
424,Винерас,soulflayer,576,deathknight,unholy,6,6,0
425,Kurían,burning-legion,576,deathknight,unholy,12,6,6
426,Nephalêm,thrall,576,deathknight,unholy,12,6,6
427,Gigadk,ragnaros,576,deathknight,unholy,12,6,6
428,Swordkill,drakthul,576,deathknight,unholy,12,6,6
429,Линфео,galakrond,576,deathknight,unholy,12,6,6
430,Feelmyfuri,mazrigos,576,deathknight,unholy,12,6,6
431,Maxto,outland,576,deathknight,unholy,12,6,6
432,Riceeater,kazzak,576,deathknight,unholy,12,6,6
433,Mefhesto,tarren-mill,576,deathknight,unholy,12,6,6
434,Mammacitaa,argent-dawn,576,deathknight,unholy,12,6,6
435,Duriel,stormscale,576,deathknight,unholy,12,6,6
436,Critgødx,draenor,576,deathknight,unholy,13,6,7
437,Pestikus,thrall,576,deathknight,unholy,18,6,12
438,Анзорини,gordunni,576,deathknight,unholy,18,6,12
439,Bloodkatana,drakthul,576,deathknight,unholy,18,6,12
440,Darhma,archimonde,576,deathknight,unholy,24,6,18
441,Oldiseas,grim-batol,575,deathknight,unholy,12,6,6
