name,realm,rating,cls,spec,play,win,lose
Alistra,frostmourne,1611,deathknight,unholy,42,20,22
Irreversible,zuljin,1611,deathknight,unholy,56,22,34
Ðogmá,vashj,1610,deathknight,unholy,35,22,13
Mikoaa,bladefist,1610,deathknight,unholy,30,17,13
Regiknight,stormrage,1610,deathknight,unholy,245,138,107
Lichkong,dalaran,1609,deathknight,unholy,76,43,33
Lagmasterx,sargeras,1609,deathknight,unholy,42,20,22
Ousted,daggerspine,1608,deathknight,unholy,36,20,16
Drneroxz,area-52,1608,deathknight,unholy,41,17,24
Deathscyythe,illidan,1607,deathknight,unholy,42,23,19
Lemuriön,nemesis,1607,deathknight,unholy,43,20,23
Ultimatdeath,jubeithos,1606,deathknight,unholy,66,30,36
Kkoduck,tichondrius,1605,deathknight,unholy,62,41,21
Ædolph,barthilas,1605,deathknight,unholy,30,17,13
Ãstaroth,stormrage,1605,deathknight,unholy,48,22,26
Notorious,garrosh,1605,deathknight,unholy,42,18,24
Boofcigars,kelthuzad,1604,deathknight,unholy,77,41,36
Idodamn,tichondrius,1604,deathknight,unholy,102,54,48
Kalgor,illidan,1604,deathknight,unholy,144,76,68
Dóm,proudmoore,1604,deathknight,unholy,132,65,67
Dominos,tichondrius,1604,deathknight,unholy,42,20,22
Berodox,malganis,1604,deathknight,unholy,72,30,42
Kellydean,moon-guard,1603,deathknight,unholy,129,68,61
Wednesdæ,moon-guard,1603,deathknight,unholy,54,28,26
Wisdôm,frostmourne,1603,deathknight,unholy,59,30,29
Kranaz,frostmourne,1603,deathknight,unholy,36,17,19
Voncleaver,tichondrius,1603,deathknight,unholy,70,23,47
Gargoylepowa,nemesis,1602,deathknight,unholy,42,20,22
Nofoamlattes,thrall,1602,deathknight,unholy,42,19,23
Zedsdead,mannoroth,1601,deathknight,unholy,54,29,25
Yubell,barthilas,1601,deathknight,unholy,390,194,196
Nalz,drakkari,1601,deathknight,unholy,196,97,99
Originalcimm,stormrage,1601,deathknight,unholy,66,28,38
Promotheseis,sargeras,1600,deathknight,unholy,66,41,25
Aldebamuu,ragnaros,1600,deathknight,unholy,161,83,78
Giznator,malganis,1598,deathknight,unholy,108,50,58
Ilikelydead,tichondrius,1597,deathknight,unholy,131,64,67
Byres,kelthuzad,1595,deathknight,unholy,58,29,29
Orkky,jubeithos,1595,deathknight,unholy,156,77,79
Wittlewanka,zuljin,1592,deathknight,unholy,136,63,73
Ulísés,ragnaros,1591,deathknight,unholy,58,20,38
Gripyourhoe,tichondrius,1589,deathknight,unholy,48,28,20
Trumps,stormrage,1588,deathknight,unholy,72,37,35
Eyir,thaurissan,1588,deathknight,unholy,104,50,54
Morrticia,malganis,1587,deathknight,unholy,61,38,23
Onlyfunss,moon-guard,1584,deathknight,unholy,119,58,61
Fuzzknight,ravenholdt,1583,deathknight,unholy,54,27,27
Stangz,bonechewer,1583,deathknight,unholy,60,29,31
Raahjx,sargeras,1582,deathknight,unholy,36,20,16
Agohnim,moon-guard,1582,deathknight,unholy,67,36,31
Burbash,moon-guard,1580,deathknight,unholy,205,105,100
Divinium,bleeding-hollow,1579,deathknight,unholy,42,18,24
Níce,tichondrius,1578,deathknight,unholy,72,27,45
Poefather,tichondrius,1575,deathknight,unholy,30,20,10
Daethiel,demon-soul,1574,deathknight,unholy,77,36,41
Kaaizer,azralon,1572,deathknight,unholy,120,68,52
Fydedk,stormrage,1572,deathknight,unholy,96,47,49
Kel,stormreaver,1570,deathknight,unholy,47,17,30
Blackary,emerald-dream,1569,deathknight,unholy,77,48,29
Rongkhun,proudmoore,1569,deathknight,unholy,54,18,36
Evilbot,tichondrius,1564,deathknight,unholy,60,40,20
Grimnuts,thrall,1564,deathknight,unholy,92,49,43
Allianknight,windrunner,1563,deathknight,unholy,54,27,27
Howlex,barthilas,1563,deathknight,unholy,48,24,24
